,gene_id,organism,plate_location,address,target,target_plate
0,BBF10K_000097,Mycoplasma_syn3,glycerol-plate_1,G6,0.0,Mycoplasma_syn3_0
1,BBF10K_000258,Mycoplasma_syn3,glycerol-plate_1,A10,1.0,Mycoplasma_syn3_0
2,BBF10K_000272,Mycoplasma_syn3,glycerol-plate_1,A4,2.0,Mycoplasma_syn3_0
3,BBF10K_000351,Mycoplasma_syn3,glycerol-plate_1,F12,3.0,Mycoplasma_syn3_0
4,BBF10K_000160,Mycoplasma_syn3,glycerol-plate_1,G3,4.0,Mycoplasma_syn3_0
5,BBF10K_000156,Mycoplasma_syn3,glycerol-plate_1,F11,5.0,Mycoplasma_syn3_0
6,BBF10K_000125,Mycoplasma_syn3,glycerol-plate_1,G12,6.0,Mycoplasma_syn3_0
7,BBF10K_000263,Mycoplasma_syn3,glycerol-plate_1,E2,7.0,Mycoplasma_syn3_0
8,BBF10K_000275,Mycoplasma_syn3,glycerol-plate_1,B3,8.0,Mycoplasma_syn3_0
9,BBF10K_000362,Mycoplasma_syn3,glycerol-plate_1,B12,9.0,Mycoplasma_syn3_0
10,BBF10K_000144,Mycoplasma_syn3,glycerol-plate_1,C1,10.0,Mycoplasma_syn3_0
11,BBF10K_000143,Mycoplasma_syn3,glycerol-plate_1,C2,11.0,Mycoplasma_syn3_0
12,BBF10K_000169,Mycoplasma_syn3,glycerol-plate_1,H1,12.0,Mycoplasma_syn3_0
13,BBF10K_000306,Mycoplasma_syn3,glycerol-plate_1,B4,13.0,Mycoplasma_syn3_0
14,BBF10K_000152,Mycoplasma_syn3,glycerol-plate_1,C3,14.0,Mycoplasma_syn3_0
15,BBF10K_000267,Mycoplasma_syn3,glycerol-plate_1,H7,15.0,Mycoplasma_syn3_0
16,BBF10K_000159,Mycoplasma_syn3,glycerol-plate_1,A11,16.0,Mycoplasma_syn3_0
17,BBF10K_000324,Mycoplasma_syn3,glycerol-plate_1,E12,17.0,Mycoplasma_syn3_0
18,BBF10K_000281,Mycoplasma_syn3,glycerol-plate_1,A6,18.0,Mycoplasma_syn3_0
19,BBF10K_000332,Mycoplasma_syn3,glycerol-plate_1,D10,19.0,Mycoplasma_syn3_0
20,BBF10K_000145,Mycoplasma_syn3,glycerol-plate_1,H11,20.0,Mycoplasma_syn3_0
21,BBF10K_000297,Mycoplasma_syn3,glycerol-plate_1,B7,21.0,Mycoplasma_syn3_0
22,BBF10K_000257,Mycoplasma_syn3,glycerol-plate_1,G11,22.0,Mycoplasma_syn3_0
23,BBF10K_000327,Mycoplasma_syn3,glycerol-plate_1,H12,23.0,Mycoplasma_syn3_0
24,BBF10K_000194,Mycoplasma_syn3,glycerol-plate_1,C8,24.0,Mycoplasma_syn3_0
25,BBF10K_000361,Mycoplasma_syn3,glycerol-plate_1,G4,25.0,Mycoplasma_syn3_0
26,BBF10K_000328,Mycoplasma_syn3,glycerol-plate_1,G7,26.0,Mycoplasma_syn3_0
27,BBF10K_000049,Mycoplasma_syn3,glycerol-plate_1,H3,27.0,Mycoplasma_syn3_0
28,BBF10K_000301,Mycoplasma_syn3,glycerol-plate_1,F3,28.0,Mycoplasma_syn3_0
29,BBF10K_000061,Mycoplasma_syn3,glycerol-plate_1,G9,29.0,Mycoplasma_syn3_0
30,BBF10K_000305,Mycoplasma_syn3,glycerol-plate_1,C6,30.0,Mycoplasma_syn3_0
31,BBF10K_000383,Mycoplasma_syn3,glycerol-plate_1,H4,31.0,Mycoplasma_syn3_0
32,BBF10K_000307,Mycoplasma_syn3,glycerol-plate_1,D11,32.0,Mycoplasma_syn3_0
33,BBF10K_000170,Mycoplasma_syn3,glycerol-plate_1,C5,33.0,Mycoplasma_syn3_0
34,BBF10K_000255,Mycoplasma_syn3,glycerol-plate_1,D9,34.0,Mycoplasma_syn3_0
35,BBF10K_000345,Mycoplasma_syn3,glycerol-plate_1,C10,35.0,Mycoplasma_syn3_0
36,BBF10K_000240,Mycoplasma_syn3,glycerol-plate_1,H2,36.0,Mycoplasma_syn3_0
37,BBF10K_000276,Mycoplasma_syn3,glycerol-plate_1,H6,37.0,Mycoplasma_syn3_0
38,BBF10K_000371,Mycoplasma_syn3,glycerol-plate_1,A8,38.0,Mycoplasma_syn3_0
39,BBF10K_000082,Mycoplasma_syn3,glycerol-plate_1,D4,39.0,Mycoplasma_syn3_0
40,BBF10K_000168,Mycoplasma_syn3,glycerol-plate_1,E1,40.0,Mycoplasma_syn3_0
41,BBF10K_000347,Mycoplasma_syn3,glycerol-plate_1,C9,41.0,Mycoplasma_syn3_0
42,BBF10K_000389,Mycoplasma_syn3,glycerol-plate_1,D8,42.0,Mycoplasma_syn3_0
43,BBF10K_000129,Mycoplasma_syn3,glycerol-plate_1,C7,43.0,Mycoplasma_syn3_0
44,BBF10K_000095,Mycoplasma_syn3,glycerol-plate_1,D2,44.0,Mycoplasma_syn3_0
45,BBF10K_000308,Mycoplasma_syn3,glycerol-plate_1,B6,45.0,Mycoplasma_syn3_0
46,BBF10K_000184,Mycoplasma_syn3,glycerol-plate_1,G2,46.0,Mycoplasma_syn3_0
47,BBF10K_000023,Mycoplasma_syn3,glycerol-plate_1,H8,47.0,Mycoplasma_syn3_0
48,BBF10K_000007,Mycoplasma_syn3,glycerol-plate_1,E6,48.0,Mycoplasma_syn3_0
49,BBF10K_000349,Mycoplasma_syn3,glycerol-plate_1,C4,49.0,Mycoplasma_syn3_0
50,BBF10K_000185,Mycoplasma_syn3,glycerol-plate_1,E11,50.0,Mycoplasma_syn3_0
51,BBF10K_000337,Mycoplasma_syn3,glycerol-plate_1,B10,51.0,Mycoplasma_syn3_0
52,BBF10K_000365,Mycoplasma_syn3,glycerol-plate_1,E9,52.0,Mycoplasma_syn3_0
53,BBF10K_000205,Mycoplasma_syn3,glycerol-plate_1,B9,53.0,Mycoplasma_syn3_0
54,BBF10K_000004,Mycoplasma_syn3,glycerol-plate_1,A3,54.0,Mycoplasma_syn3_0
55,BBF10K_000400,Mycoplasma_syn3,glycerol-plate_1,B2,55.0,Mycoplasma_syn3_0
56,BBF10K_000431,Mycoplasma_syn3,glycerol-plate_10,B2,56.0,Mycoplasma_syn3_0
57,BBF10K_000182,Mycoplasma_syn3,glycerol-plate_10,D7,57.0,Mycoplasma_syn3_0
58,BBF10K_002220,Mycoplasma_genitalium,glycerol-plate_11,E1,0.0,Mycoplasma_genitalium_0
59,BBF10K_001249,Mesoplasma_florum,glycerol-plate_11,G1,0.0,Mesoplasma_florum_0
60,BBF10K_002476,Mycoplasma_pneumonia,glycerol-plate_11,H3,0.0,Mycoplasma_pneumonia_0
61,BBF10K_002186,Mycoplasma_genitalium,glycerol-plate_11,A1,1.0,Mycoplasma_genitalium_0
62,BBF10K_001416,Mesoplasma_florum,glycerol-plate_12,F2,1.0,Mesoplasma_florum_0
63,BBF10K_003028,Mycoplasma_pneumonia,glycerol-plate_12,F12,1.0,Mycoplasma_pneumonia_0
64,BBF10K_002937,Mycoplasma_pneumonia,glycerol-plate_12,B12,2.0,Mycoplasma_pneumonia_0
65,BBF10K_001872,Mesoplasma_florum,glycerol-plate_12,A5,2.0,Mesoplasma_florum_0
66,BBF10K_002582,Mycoplasma_pneumonia,glycerol-plate_12,C10,3.0,Mycoplasma_pneumonia_0
67,BBF10K_002499,Mycoplasma_pneumonia,glycerol-plate_12,F9,4.0,Mycoplasma_pneumonia_0
68,BBF10K_001627,Mesoplasma_florum,glycerol-plate_12,C4,3.0,Mesoplasma_florum_0
69,BBF10K_002605,Mycoplasma_pneumonia,glycerol-plate_12,E10,5.0,Mycoplasma_pneumonia_0
70,BBF10K_003009,Mycoplasma_pneumonia,glycerol-plate_12,D12,6.0,Mycoplasma_pneumonia_0
71,BBF10K_002557,Mycoplasma_pneumonia,glycerol-plate_12,B10,7.0,Mycoplasma_pneumonia_0
72,BBF10K_002290,Mycoplasma_genitalium,glycerol-plate_12,H7,2.0,Mycoplasma_genitalium_0
73,BBF10K_001922,Mycoplasma_genitalium,glycerol-plate_12,F1,3.0,Mycoplasma_genitalium_0
74,BBF10K_002305,Mycoplasma_genitalium,glycerol-plate_12,B8,4.0,Mycoplasma_genitalium_0
75,BBF10K_001616,Mesoplasma_florum,glycerol-plate_12,A4,4.0,Mesoplasma_florum_0
76,BBF10K_002080,Mycoplasma_genitalium,glycerol-plate_12,F6,5.0,Mycoplasma_genitalium_0
